REGION_NM,MON_YR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
REG4,Apr-16,EASTERN,ORISSA,PVT,THERMAL,COAL,JITPL,DERANG TPP,1200,454,713.75
REG2,Apr-16,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,BLAPPL,NIWARI TPP,45,10,26.53
REG2,Apr-16,WESTERN,MADHYA PRADESH,STATE,THERMAL,COAL,MPPGCL,SANJAY GANDHI TPS,1340,599,773.71
REG4,Apr-16,EASTERN,WEST BENGAL,PVT,THERMAL,COAL,CESC,TITAGARH TPS,240,33,73.99
REG2,Apr-16,WESTERN,GUJARAT,PVT,THERMAL,NATURAL GAS,TOR. POW. (UNOSUGEN),DGEN MEGA CCPP,1200,0,0
REG5,Apr-16,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,NEW UMTRU HPS,0,0,0
REG2,Apr-16,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,JPPVL,NIGRI TPP,1320,494,704.04
REG3,Apr-16,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,PARSON`S VALLEY  HPS.,30,3,5.61
REG4,Apr-16,EASTERN,SIKKIM,PVT,HYDRO,HYDRO,GISL,CHUZACHEN HPS,99,20,29.18
REG5,Apr-16,NORTH EASTERN,TRIPURA,CENTRAL,THERMAL,NATURAL GAS,NEEPCO.,MONARCHAK CCPP,101,25,10.58
REG4,Apr-16,EASTERN,WEST BENGAL,PVT,THERMAL,COAL,HEL,HALDIA TPP,600,344,374.43
REG3,Apr-16,SOUTHERN,KARNATAKA,STATE,THERMAL,COAL,KPCL,YERMARUS TPP,800,0,0
REG2,Apr-16,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,BHUSAWAL TPS,1420,720,827.96
REG4,Apr-16,EASTERN,WEST BENGAL,CENTRAL,THERMAL,COAL,DVC,DURGAPUR TPS,340,93,128.11
REG2,Apr-16,WESTERN,GUJARAT,PVT,THERMAL,COAL,APL,MUNDRA TPS,4620,2597,2374.62
REG3,Apr-16,SOUTHERN,TAMIL NADU,PVT,THERMAL,DIESEL,VASAVI,B. BRIDGE D.G,200,0,0
REG3,Apr-16,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,KAKKAD  HPS.,50,21,19.13
REG3,Apr-16,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,SENGULAM  HPS.,48,9,8.2
REG1,Apr-16,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,SEWA-II  HPS,120,75,58.54
REG3,Apr-16,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,COAL,NTECL,VALLUR TPP,1500,747,742.78
REG2,Apr-16,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,AMNEPL,MIHAN TPS,246,0,0
REG2,Apr-16,WESTERN,GUJARAT,PVT,THERMAL,COAL,EPGL,SALAYA TPP,1200,394,515.34
REG2,Apr-16,WESTERN,CHHATTISGARH,CENTRAL,THERMAL,COAL,NTPC Ltd.,LARA TPP,0,0,0
REG3,Apr-16,SOUTHERN,TAMIL NADU,PVT,THERMAL,DIESEL,SAMALPATI,SAMALPATTI DG,105.7,2,0
REG4,Apr-16,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,SANTALDIH TPS,980,307,323.9
REG1,Apr-16,NORTHERN,UTTARAKHAND,PVT,HYDRO,HYDRO,JPPVL,VISHNU PRAYAG  HPS,400,81,65.94
REG1,Apr-16,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,PARICHHA TPS,1140,623,754.83
REG3,Apr-16,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,KODASALI  HPS,120,22,22.64
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,KONDAPALI,KONDAPALLI CCPP,350,50,65.99
REG2,Apr-16,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,KORBA-II,200,77,107.79
REG3,Apr-16,SOUTHERN,TELANGANA,STATE,THERMAL,COAL,TSGENCO,KOTHAGUDEM TPS,720,377,368.2
REG2,Apr-16,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,KOYNA-I  HPS,280,80,62.08
REG5,Apr-16,NORTH EASTERN,ASSAM,STATE,THERMAL,NATURAL GAS,APGPCL,LAKWA GT,157.2,73,73.34
REG2,Apr-16,WESTERN,GUJARAT,STATE,THERMAL,COAL,GMDCL,AKRIMOTA LIG TPS,250,132,128.62
REG1,Apr-16,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,MPCL,MALANA  HPS,86,16,15.74
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,APGCL,VIJJESWARAM CCPP,272,58,55.4
REG2,Apr-16,WESTERN,GUJARAT,STATE,HYDRO,HYDRO,GSECL,UKAI  HPS,300,64,55.23
REG3,Apr-16,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,METTUR TPS,1440,841,976.78
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,JPL,OP JINDAL TPS,1000,444,469.55
REG3,Apr-16,SOUTHERN,TAMIL NADU,PVT,THERMAL,NATURAL GAS,PPNPGCL,P.NALLUR CCPP,330.5,4,82.78
REG3,Apr-16,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,PAPANASAM  HPS.,32,2,4.08
REG2,Apr-16,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,PARAS TPS,500,190,350.87
REG1,Apr-16,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,BHAKRA H  P S,1343,220,302.57
REG2,Apr-16,WESTERN,GUJARAT,PVT,THERMAL,COAL,TOR. POW. (UNOSUGEN),SABARMATI (D-F STATIONS),362,210,238.64
REG2,Apr-16,WESTERN,MAHARASHTRA,PVT,HYDRO,HYDRO,DLHP,BHANDARDHARA  HPS ST-II,34,5,0.98
REG2,Apr-16,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,GEPL,GEPL TPP Ph-I,120,0,0
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,DBPCL,BARADARHA TPS,1200,289,612.92
REG2,Apr-16,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,DIPL,DHARIWAL TPP,600,91,145.01
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,BSES(P),PEDDAPURAM CCPP,220,5,0
REG4,Apr-16,EASTERN,ORISSA,STATE,THERMAL,COAL,OPGC,IB VALLEY TPS,420,272,285.67
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,SKS,BINJKOTE TPP,0,0,0
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,TRNE,NAWAPARA TPP,0,0,0
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,RKMPPL,UCHPINDA TPP,720,132,0
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,COAL,HNPC,VIZAG TPP,1040,141,3.54
REG3,Apr-16,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,KADAMPARI  HPS.,400,26,44.98
